fichier XML;fichier decoupe;action;date debut;date fin
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-3687239095867971154;XSL;1449151940643;1449151940652
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-3687239095867971154;IDX;1449151940652;1449151940736
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-4939542324684289602;XSL;1449151940737;1449151940753
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-4939542324684289602;IDX;1449151940753;1449151940817
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-5236592836270309271;XSL;1449151940817;1449151940827
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-5236592836270309271;IDX;1449151940827;1449151940974
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-3450681087301962112;XSL;1449151940974;1449151940985
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-3450681087301962112;IDX;1449151940985;1449151941068
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-420868463183402418;XSL;1449151941068;1449151941084
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-420868463183402418;IDX;1449151941084;1449151941144
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6862762122935883494;XSL;1449151941144;1449151941154
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6862762122935883494;IDX;1449151941154;1449151941221
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-8181025077272398289;XSL;1449151941221;1449151941232
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-8181025077272398289;IDX;1449151941232;1449151941281
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6080225923740716542;XSL;1449151941281;1449151941295
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-6080225923740716542;IDX;1449151941295;1449151941348
paye.xhl;file:/C:/Users/STAGIA~1/AppData/Local/Temp/XEMELIOS/data-15377534138112236;XSL;1449151941348;1449151941358
